FormCode,QuestionNo,MultiSectionQuestion,QuestionOfficial,SectionName,SubSectionName,ChoiceText,FormLabel,MaxChars,IsSingleCheckbox,SortOrder,PageNo,MultiSectionName,MultiSectionNo
EPO-0001,,,Item Total,Order Details,Line Items,,,,,550,1,Line Item,7
EPO-0001,,,Item No,Order Details,Line Items,,,,,560,1,Line Item,8
EPO-0001,,,Item Description,Order Details,Line Items,,,,,570,1,Line Item,8
EPO-0001,,,Item Qty,Order Details,Line Items,,,,,580,1,Line Item,8
EPO-0001,,,Item Price,Order Details,Line Items,,,,,590,1,Line Item,8
EPO-0001,,,Item Total,Order Details,Line Items,,,,,600,1,Line Item,8
EPO-0001,,,Item No,Order Details,Line Items,,,,,610,1,Line Item,9
EPO-0001,,,Item Description,Order Details,Line Items,,,,,620,1,Line Item,9
EPO-0001,,,Item Qty,Order Details,Line Items,,,,,630,1,Line Item,9
EPO-0001,,,Item Price,Order Details,Line Items,,,,,640,1,Line Item,9
EPO-0001,,,Item Total,Order Details,Line Items,,,,,650,1,Line Item,9
EPO-0001,,,Item No,Order Details,Line Items,,,,,660,1,Line Item,10
EPO-0001,,,Item Description,Order Details,Line Items,,,,,670,1,Line Item,10
EPO-0001,,,Item Qty,Order Details,Line Items,,,,,680,1,Line Item,10
EPO-0001,,,Item Price,Order Details,Line Items,,,,,690,1,Line Item,10
EPO-0001,,,Item Total,Order Details,Line Items,,,,,700,1,Line Item,10
EPO-0001,,,Comments or Special Instructions,Order Details,Footer,,,,,5060,1,,
EPO-0001,,,Subtotal,Order Details,Footer,,,,,5070,1,,
EPO-0001,,,Tax,Order Details,Footer,,,,,5080,1,,
EPO-0001,,,Shipping Fee,Order Details,Footer,,,,,5090,1,,
EPO-0001,,,PO Total,Order Details,Footer,,,,,6000,1,,
